Winner,Final Score Away,Final Score Home,Final Score Difference,Half Score Away,Half Score Home,Half Score Difference,Away FGA,Home FGA,Away FG,Home FG,Away 3PT,Home 3PT,Away EFG,Home EFG,Away Pos,Home Pos,Away TO,Home TO,Away TPP,Home TPP,Away OR,Home OR,Away DR,Home DR,Away ORP,Home ORP,Away DRP,Home DRP,Away DTPP,Home DTPP
Home,99,125,-26,45,63,-18,53,47,17,23,4,9,0.3584905660377358,0.5851063829787234,54,52,9,13,0.1666666666666666,0.25,13,7,18,26,0.3611111111111111,0.2916666666666667,0.75,0.7222222222222222,0.2407407407407407,0.173076923076923
Away,116,109,7,56,54,2,45,40,21,17,7,5,0.5444444444444444,0.4875,47,54,12,11,0.2553191489361702,0.2037037037037037,4,8,20,22,0.1666666666666666,0.3478260869565217,0.8695652173913043,0.9166666666666666,0.2340425531914893,0.2222222222222222
Home,114,121,-7,44,65,-21,43,45,19,26,3,5,0.4767441860465116,0.6333333333333333,45,47,8,7,0.1777777777777777,0.1489361702127659,5,8,12,22,0.2083333333333333,0.4210526315789473,0.631578947368421,0.9166666666666666,0.1555555555555555,0.1702127659574468
Home,107,121,-14,66,61,5,43,47,24,23,8,4,0.6511627906976745,0.5319148936170213,49,52,10,9,0.2040816326530612,0.173076923076923,2,10,19,18,0.1052631578947368,0.4166666666666667,0.7916666666666666,0.9473684210526316,0.1836734693877551,0.1923076923076923
Home,107,113,-6,53,56,-3,39,46,21,24,5,4,0.6025641025641025,0.5652173913043478,49,49,12,11,0.2448979591836734,0.2244897959183673,3,11,16,16,0.1666666666666666,0.5,0.7272727272727273,0.8888888888888888,0.2244897959183673,0.2448979591836734
Home,107,113,-6,59,58,1,46,43,23,23,8,6,0.5869565217391305,0.6046511627906976,49,51,8,9,0.1632653061224489,0.1764705882352941,5,5,19,21,0.217391304347826,0.25,0.95,0.9130434782608696,0.1836734693877551,0.1568627450980392
Away,113,99,14,50,57,-7,41,45,19,21,8,11,0.5609756097560976,0.5888888888888889,50,49,15,12,0.3,0.2448979591836734,12,9,17,18,0.5454545454545454,0.375,0.7083333333333334,0.8181818181818182,0.24,0.3061224489795918
Home,121,122,-1,59,64,-5,45,53,24,24,7,12,0.6111111111111112,0.5660377358490566,49,50,9,4,0.1836734693877551,0.08,4,8,23,17,0.1904761904761904,0.2758620689655172,0.7931034482758621,0.8095238095238095,0.0816326530612244,0.18
Away,124,104,20,83,59,24,43,49,29,21,10,6,0.7906976744186046,0.4897959183673469,49,49,9,10,0.1836734693877551,0.2040816326530612,4,11,18,13,0.2857142857142857,0.3928571428571428,0.6428571428571429,0.9285714285714286,0.2040816326530612,0.1836734693877551
Away,131,119,12,66,53,13,50,50,25,21,6,9,0.56,0.51,50,47,4,5,0.08,0.1063829787234042,8,6,26,19,0.32,0.2068965517241379,0.896551724137931,0.76,0.1,0.0851063829787234
Home,101,111,-10,57,56,1,49,43,25,19,5,4,0.5612244897959183,0.4883720930232558,41,47,5,4,0.1219512195121951,0.0851063829787234,8,8,19,18,0.3333333333333333,0.3333333333333333,0.7916666666666666,0.75,0.0975609756097561,0.1063829787234042
